date,price,bedrooms,bathrooms,square_feet,floors,waterfront,view,condition,yr_built,yr_renovated,street,city,statezip,country
05-05-2022,670000,5,2.5,1680,3,0,0,3,1909,1998,3503 NE 44th St,Seattle,WA 98105,USA
05-05-2022,384900,5,2.5,3090,1,0,0,3,1968,1997,114 SW 292nd St,Federal Way,WA 98023,USA
05-05-2022,406100,5,2.25,1410,3,0,0,3,2005,0,8536 Interlake Ave N,Seattle,WA 98103,USA
05-05-2022,1395000,5,3.5,4010,2,0,1,5,1971,0,3930 NE Belvoir Pl,Seattle,WA 98105,USA
05-05-2022,736500,8,2.5,3180,2,0,3,3,2000,0,17132 SE 100th St,Renton,WA 98059,USA
05-05-2022,570000,5,2.25,2010,1,0,0,3,1975,0,10204 168th Pl NE,Redmond,WA 98052,USA
05-05-2022,787000,5,1.75,1330,1,0,0,3,1961,2004,218 109th Ave SE,Bellevue,WA 98004,USA
05-05-2022,328000,8,2.5,2370,2,0,0,3,1998,2006,12621 SE 300th Way,Auburn,WA 98092,USA
05-05-2022,435000,5,2,1840,1,0,0,4,1942,1958,14013 Ashworth Ave N,Seattle,WA 98133,USA
05-05-2022,499000,8,2.5,2910,2,0,0,3,2006,0,34010 SE Sorenson St,Snoqualmie,WA 98065,USA
05-05-2022,501000,8,1,2070,1,0,0,3,1963,2008,2506 166th Ave NE,Bellevue,WA 98008,USA
05-05-2022,1090000,8,2.5,4340,2.5,0,0,3,1992,0,8814 218th Ave NE,Redmond,WA 98053,USA
05-05-2022,400000,2,1,840,1,0,0,3,1955,2005,4515 SW Trenton St,Seattle,WA 98136,USA
05-05-2022,220000,8,1.5,1240,1,0,0,3,1971,0,4924 SW 314th Pl,Federal Way,WA 98023,USA
05-05-2022,657100,8,1,1390,1,0,0,3,1924,2011,4312 Woodlawn Ave N,Seattle,WA 98103,USA
05-05-2022,309950,8,2.75,2310,2,0,0,3,2006,0,22912 SE 268th Pl,Maple Valley,WA 98038,USA
05-05-2022,300000,5,2,1050,1,0,0,3,1986,0,27106 NE Miller St,Duvall,WA 98019,USA
05-05-2022,525888,5,1.75,2550,1,0,0,5,1960,0,13129 195th Pl SE,Issaquah,WA 98027,USA
05-05-2022,740000,8,1.75,2010,1.5,0,0,3,1902,0,1014 W Garfield St,Seattle,WA 98119,USA
05-05-2022,340000,5,1,1120,1.5,0,0,4,1962,0,14150 75th Ave NE,Kirkland,WA 98034,USA
05-05-2022,398750,5,2.5,2230,2,0,0,3,1954,2005,2601 21st Ave S,Seattle,WA 98144,USA
05-05-2022,206000,2,1,810,1,0,0,5,1944,0,12807 7th Ave S,Burien,WA 98168,USA
05-05-2022,1030000,5,2.75,3190,1,0,3,3,1976,0,4529 135th Ave SE,Bellevue,WA 98006,USA
05-05-2022,600000,5,1.75,1670,1,0,0,4,1976,1992,1804 E Beaver Lake Dr SE,Sammamish,WA 98075,USA
05-05-2022,379950,8,1.75,1970,1,0,0,5,1960,0,1701 N 204th Pl,Shoreline,WA 98133,USA
05-05-2022,287000,5,1,1450,1,0,0,4,1953,1983,8681 Beacon Ave S,Seattle,WA 98118,USA
05-05-2022,2280000,7,8,13540,3,0,4,3,1999,0,26408 NE 70th St,Redmond,WA 98053,USA
05-05-2022,309950,5,2.5,1880,2,0,0,3,1994,0,17717 113th Pl SE,Renton,WA 98055,USA
05-05-2022,600000,5,1.75,1880,1,0,0,4,1945,0,8040 39th Ave NE,Seattle,WA 98115,USA
05-05-2022,418000,5,2,1410,1.5,0,0,4,1930,0,901 N 97th St,Seattle,WA 98103,USA
05-05-2022,449250,8,2,1480,1.5,0,0,5,1928,1970,519 N 104th St,Seattle,WA 98133,USA
05-05-2022,329950,2,1,1140,1.5,0,0,4,1949,1985,14017 Roslyn Pl N,Seattle,WA 98133,USA
05-05-2022,245000,5,1.75,1920,1,0,0,3,1984,0,30001-30021 55th Pl S,Auburn,WA 98001,USA
05-05-2022,549000,8,2.5,2910,2,0,0,3,2008,0,16026 SE 137th Terrace,Renton,WA 98059,USA
05-05-2022,800000,5,2.5,3240,2,0,0,3,1994,0,22721-22727 SE 27th St,Sammamish,WA 98075,USA
05-05-2022,249950,5,2,1550,1,0,0,4,1958,1972,18027 SE 128th St,Renton,WA 98059,USA
05-05-2022,210000,5,2,2050,1,0,0,3,1956,2001,20927-20999 2nd Ave S,Des Moines,WA 98198,USA
05-05-2022,1425000,2,2.5,2220,2,0,0,3,2000,0,1857 41st Ave E,Seattle,WA 98112,USA
05-05-2022,585000,2,1,1770,1.5,0,0,3,1949,1998,353 NW 88th St,Seattle,WA 98117,USA
05-05-2022,615000,8,1.75,2300,1,0,0,4,1977,0,18427 NE 26th Way,Redmond,WA 98052,USA
05-05-2022,618500,5,2,1800,1,0,0,4,1942,1982,2803 NE 62nd St,Seattle,WA 98115,USA
05-05-2022,487585,8,1.75,2010,1,0,0,3,1977,2004,13313 127th Pl NE,Kirkland,WA 98034,USA
05-05-2022,509900,5,2.5,1790,2,0,0,3,2010,0,4532 185th Ave SE,Issaquah,WA 98027,USA
05-05-2022,631625,8,2.5,2440,2,0,0,3,2014,0,9288-9358 Holman Rd NW,Seattle,WA 98117,USA
05-05-2022,555000,5,2.5,1940,2,0,0,3,2009,0,4509 185th Ave SE,Issaquah,WA 98027,USA
05-05-2022,340000,2,1.5,1160,2,0,0,3,2001,0,1318 29th Ave S,Seattle,WA 98144,USA
05-05-2022,830000,8,2.5,3400,2,0,0,3,2007,0,12001 173rd Pl NE,Redmond,WA 98052,USA
05-05-2022,890000,8,4.25,4420,2,0,0,3,2006,0,842 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA
05-05-2022,366750,5,3,1571,3,0,0,3,2008,0,14359 19th Ave NE,Seattle,WA 98125,USA
05-05-2022,415000,5,2.25,1620,2.5,0,0,3,2010,0,935 4th Ave NE,Issaquah,WA 98029,USA
05-05-2022,416286,5,2.5,1408,3,0,0,3,2005,0,7809 12th Ave NE,Seattle,WA 98115,USA
05-05-2022,478000,5,2.5,3040,2,0,0,3,2007,0,2027 Ferndale Ave NE,Renton,WA 98056,USA
05-05-2022,890000,5,3.5,4490,2,0,0,3,2006,0,792 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA
05-05-2022,419190,2,2.5,1590,2,0,0,3,2014,0,1273 NE Hickory Ln,Issaquah,WA 98029,USA
05-05-2022,712198,8,2.5,2450,2,0,0,3,2013,1923,17122 NE 117th St,Redmond,WA 98052,USA
06-05-2022,397000,8,2,1440,1,0,0,3,1971,0,10601 NE 138th Pl,Kirkland,WA 98034,USA
06-05-2022,450000,2,2,1100,1.5,0,0,3,1912,2005,412 NW 70th St,Seattle,WA 98117,USA
06-05-2022,353000,5,1,1350,1,0,0,4,1947,1988,11051 35th Ave NE,Seattle,WA 98125,USA
06-05-2022,609000,8,2.5,2150,2,0,0,3,1985,0,18114 NE 136th St,Redmond,WA 98052,USA
06-05-2022,234000,5,1.75,1490,1,0,0,4,1975,0,25305 151st Pl SE,Covington,WA 98042,USA
06-05-2022,561000,5,2,2000,2,0,0,3,1916,1986,6422 Marshall Ave SW,Seattle,WA 98136,USA
06-05-2022,469000,2,1,1030,1,0,0,3,1924,2011,310 NW 72nd St,Seattle,WA 98117,USA
06-05-2022,329350,2,1,720,1,0,0,3,1942,1999,9712 4th Ave NW,Seattle,WA 98117,USA
06-05-2022,488000,5,2,2020,1.5,0,0,4,1938,0,9020-9024 11th Ave NW,Seattle,WA 98117,USA
06-05-2022,279900,5,1.75,1580,1,0,1,4,1962,0,1629 S 261st Pl,Des Moines,WA 98198,USA
06-05-2022,606000,8,2.5,2110,2,0,0,3,1987,2000,2755 NW Pine Cone Dr,Issaquah,WA 98027,USA
06-05-2022,312000,8,2,1300,1,0,0,3,1950,2013,2815 SW 107th St,Seattle,WA 98146,USA
06-05-2022,650000,5,1.5,1630,1,0,1,3,1940,1996,6009 52nd Ave NE,Seattle,WA 98115,USA
06-05-2022,1135000,8,2.75,3370,1,0,3,3,1970,2014,3922 SW Henderson St,Seattle,WA 98136,USA
06-05-2022,325000,8,2.5,1890,1,0,0,3,1980,0,5631 17th Ave SW,Seattle,WA 98106,USA
06-05-2022,425000,8,2,1520,1,0,0,5,1967,0,14876 Juanita Woodinville Way NE,Inglewood-Finn Hill,WA 98034,USA
06-05-2022,219000,2,1,900,1,0,0,3,1952,2008,8652 17th Ave SW,Seattle,WA 98106,USA
06-05-2022,250000,5,1,1050,1,0,0,3,1954,2005,18305 Dayton Ave N,Shoreline,WA 98133,USA
06-05-2022,390000,5,1.75,1260,1,0,0,4,1966,0,1415 168th Ave NE,Bellevue,WA 98008,USA
06-05-2022,475000,6,3,3470,1.5,0,0,3,1924,2011,19007 80th Ave NE,Kenmore,WA 98028,USA
06-05-2022,736000,8,2.5,2290,2,0,0,4,1988,0,17435 SE 47th St,Bellevue,WA 98006,USA
06-05-2022,407000,8,2.25,2810,1,0,1,3,1958,2004,23024-23198 17th Ave S,Des Moines,WA 98198,USA
06-05-2022,272000,5,2.5,1650,2,0,0,3,1998,2006,32000-32072 NE 55th St,Carnation,WA 98014,USA
06-05-2022,362000,5,2.25,1640,1,0,0,4,1963,0,17253 Ambaum Blvd S,Burien,WA 98148,USA
06-05-2022,535000,5,2.5,1850,2,0,0,3,1991,0,8409 NE 129th Pl,Kirkland,WA 98034,USA
06-05-2022,284000,8,2.5,2000,2,0,0,3,2003,0,25434 160th Ave SE,Kent,WA 98042,USA
06-05-2022,367500,5,1.5,1410,1,0,0,3,1961,2004,18048 3rd Ave NW,Shoreline,WA 98177,USA
06-05-2022,379900,8,1.75,1500,1,0,0,4,1955,2009,15007 75th Ave NE,Kenmore,WA 98028,USA
06-05-2022,520000,5,2.5,2460,2,0,0,4,1980,0,5424 NE 10th St,Renton,WA 98059,USA
06-05-2022,175000,5,1,1010,1,0,0,3,1954,2005,207 NW 5th St,Renton,WA 98057,USA
06-05-2022,460000,2,2.25,1230,2,0,0,3,2004,2003,100 24th Ave E,Seattle,WA 98112,USA
06-05-2022,345000,8,2.5,2331,2,0,0,3,2007,0,11853 SE 176th Ct,Renton,WA 98058,USA
06-05-2022,455000,5,2.5,2240,1,0,0,3,1978,0,12633 NE 133rd Pl,Kirkland,WA 98034,USA
06-05-2022,610000,8,3,2450,1,0,0,5,1967,0,15607 SE 42nd Ct,Bellevue,WA 98006,USA
06-05-2022,563000,8,3,3100,2,0,0,3,1996,0,7422 NE 163rd St,Kenmore,WA 98028,USA
06-05-2022,612500,8,2,2060,1,0,0,3,1949,2013,1708 NW 96th St,Seattle,WA 98117,USA
06-05-2022,218000,5,1.75,1850,1,0,0,3,1979,2014,33945 28th Pl SW,Federal Way,WA 98023,USA
06-05-2022,404000,8,1.75,1840,1,0,0,3,1958,2004,16020 SE 2nd St,Bellevue,WA 98008,USA
06-05-2022,860000,8,2,3740,2,0,0,3,2000,0,24507 NE 77th Pl,Redmond,WA 98053,USA
06-05-2022,136500,5,1.5,1420,1,0,0,3,1962,2003,32827 22nd Ave SW,Federal Way,WA 98023,USA
06-05-2022,313950,5,1,1510,1,0,0,4,1940,2001,415 NE 94th St,Seattle,WA 98115,USA
06-05-2022,575000,5,1.75,2130,1,0,2,3,1954,2005,2214 W Halladay St,Seattle,WA 98199,USA
06-05-2022,1225000,8,2.25,3490,2,0,0,4,1928,0,2560 39th Ave W,Seattle,WA 98199,USA
06-05-2022,280000,5,1.75,1630,1,0,0,4,1971,0,12525 458th Ave SE,North Bend,WA 98045,USA
06-05-2022,515000,5,2.5,1790,2,0,0,3,1989,0,920 221st Ave NE,Sammamish,WA 98074,USA
06-05-2022,513000,8,2.5,2000,2,0,0,3,1996,0,9041 NE 160th Pl,Kenmore,WA 98028,USA
06-05-2022,599000,8,2.25,2260,2,0,0,4,1977,0,16022 SE 43rd St,Bellevue,WA 98006,USA
06-05-2022,685000,8,2.5,3030,2,0,0,3,1999,0,24201 SE 1st Pl,Sammamish,WA 98074,USA
06-05-2022,365000,5,1.5,1310,1,0,0,3,1950,2005,13714 Ashworth Ave N,Seattle,WA 98133,USA
06-05-2022,762300,8,2.5,3880,2,0,0,3,1987,2000,22344 NE 31st St,Sammamish,WA 98074,USA
06-05-2022,1580000,8,3.25,3760,1.5,0,0,5,1950,0,5650 NE 55th St,Seattle,WA 98105,USA
06-05-2022,562000,5,2.25,3040,2,0,0,3,1984,0,17649 NE 129th Pl,Redmond,WA 98052,USA
06-05-2022,530000,5,2.5,2910,1,0,0,4,1964,0,3250 165th Ave SE,Bellevue,WA 98008,USA
06-05-2022,525000,5,2.5,2970,1,0,0,3,1995,0,21603 NE 29th St,Sammamish,WA 98074,USA
06-05-2022,484000,2,1.75,1660,1,0,0,3,1942,1999,4711 University View Pl NE,Seattle,WA 98105,USA
06-05-2022,725126,8,2.5,3200,2,0,0,3,1998,2006,14707 SE 84th St,Newcastle,WA 98059,USA
06-05-2022,360000,8,2,2680,1,0,0,5,1965,0,31607-31633 44th Ave S,Auburn,WA 98001,USA
06-05-2022,387000,5,1,1230,1,0,0,5,1962,0,12116 SE 71st Pl,Newcastle,WA 98056,USA
06-05-2022,483500,8,2.5,2740,2,0,0,3,1995,0,15418 216th Ave NE,Woodinville,WA 98077,USA
06-05-2022,655500,8,3.5,3380,2,0,0,3,2000,0,1703 NW 200th Ln,Shoreline,WA 98177,USA
06-05-2022,345000,5,1,1110,1,0,0,3,1956,2001,3230 NE 95th St,Seattle,WA 98115,USA
06-05-2022,533000,5,2.75,1800,1.5,0,0,3,1926,2003,7434 Winona Ave N,Seattle,WA 98103,USA
06-05-2022,385000,5,1.75,1900,1,0,0,3,1982,0,5215 32nd Ave S,Seattle,WA 98118,USA
06-05-2022,675000,2,1,930,1,0,2,3,1951,1994,4206 SE Newport Way,Bellevue,WA 98006,USA
06-05-2022,197000,5,1.75,1690,1,0,0,4,1976,1992,30020 43rd Pl S,Auburn,WA 98001,USA
06-05-2022,485000,5,2,1420,1.5,0,0,3,1905,2013,720 N 80th St,Seattle,WA 98103,USA
06-05-2022,1870000,5,4,4510,2,0,0,3,1969,2002,8300 SE 82nd St,Mercer Island,WA 98040,USA
06-05-2022,295000,5,2.25,1980,1,0,0,4,1974,0,31966 36th Ave SW,Federal Way,WA 98023,USA
06-05-2022,499000,2,1.75,1170,1,0,0,4,1903,0,2112 N 50th St,Seattle,WA 98103,USA
06-05-2022,1050000,5,2.5,2200,2,0,0,3,2008,0,2516 Yale Ave E,Seattle,WA 98102,USA
06-05-2022,191000,5,1.5,800,1,0,0,4,1959,0,1003 SW 307th St,Federal Way,WA 98023,USA
06-05-2022,500000,5,2.5,1480,3,0,0,3,2006,0,135 25th Ave E,Seattle,WA 98112,USA
06-05-2022,390000,5,3.75,2890,1,0,0,3,2006,0,3665 Renton Ave S,Seattle,WA 98144,USA
06-05-2022,979000,5,2.5,2690,3,0,0,3,2014,0,7000 23rd Ave NW,Seattle,WA 98117,USA
06-05-2022,580000,8,3.25,3569,2,0,0,3,2013,1923,710 S 23rd St,Renton,WA 98055,USA
06-05-2022,369950,5,2,1270,3,0,0,3,2006,0,8846 Midvale Ave N,Seattle,WA 98103,USA
06-05-2022,1800000,5,5,4490,2,0,0,3,2013,1923,1435 104th Ave SE,Bellevue,WA 98004,USA
06-05-2022,776000,8,2.5,3040,2,0,0,3,2008,0,16775 NE 86th Ct,Redmond,WA 98052,USA
07-05-2022,519950,5,2.25,1170,3,0,0,3,2014,0,1749 NW 60th St,Seattle,WA 98107,USA
07-05-2022,255000,5,2.25,2060,1,0,0,3,1962,2003,105 SW 129th St,Burien,WA 98146,USA
07-05-2022,495000,5,1,990,1,0,0,3,1943,2002,5628 NE 59th St,Seattle,WA 98105,USA
07-05-2022,510000,8,2.5,2430,2,0,0,3,2003,0,1028 NE 153rd Ct,Shoreline,WA 98155,USA
07-05-2022,1150000,8,4,4460,2,0,0,3,2001,0,25823 NE 30th Ct,Redmond,WA 98053,USA
07-05-2022,253000,5,1.75,1250,1,0,0,3,1994,0,25502 Kanasket Dr,Black Diamond,WA 98010,USA
07-05-2022,503000,5,2.75,1540,1,0,0,5,1980,0,9626 NE 129th Pl,Kirkland,WA 98034,USA
07-05-2022,275000,5,2.5,1600,2,0,0,4,1993,0,21326 SE 277th Pl,Maple Valley,WA 98038,USA
07-05-2022,249000,5,1,1110,1,0,0,3,1952,2008,14613 6th Ave SW,Burien,WA 98166,USA
07-05-2022,310000,5,1.75,1840,1,0,0,4,1974,0,19313 140th Pl SE,Renton,WA 98058,USA
07-05-2022,750000,5,2.75,2520,1,0,0,4,1946,1989,2806 13th Ave W,Seattle,WA 98119,USA
